Model,Vmax_elastic [km/s],R(Vmax) [kpc],V(10 kpc) elastic [km/s],V(20 kpc) elastic [km/s],V(10 kpc) baryon [km/s],V(20 kpc) baryon [km/s],V(2.2 Rd) elastic [km/s],V(2.2 Rd) baryon [km/s],2.2 Rd [kpc]
HSB,252.7259849740739,8.2,251.16064471556146,230.32274088871148,195.01074136381328,143.76296498940818,250.88867697426986,209.38448259046518,6.6000000000000005
LSB,97.49997880834194,32.03066132264529,80.0573964732058,94.61760249251498,29.264457149751326,29.505092806317766,82.60432095487953,29.770120632905478,11.0
